"Unique Barcode",Description,Category,Brand,Supplier,"System Warehouse","Scanned Warehouse","System Location","Scanned Location","Audit Status",Outbounded,"Unit Cost","Scanned Date"
14955281-2,"Laptop Keyboard MSI U100","Laptop Keyboard",MSI,Imports,"LPO HQ-BUFFER",,KEYB4(FLIP),,MISSING,no,181.65,
23671985-2,"Led Screen 14 40 Pins Borderless QHD Thin Screen","Led Screen","No Brand","All Star","LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,3622.57,
68735940-37,"Led Screen 15.6 30 Pins Slim FHD","Led Screen","No Brand","All Star","LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,1593.22,
76022323-7,"Led Screen 11.6 30 Pins Slim Type Up and Down HD","Led Screen","No Brand","All Star","LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,778.89,
05437575-28,"Led Screen 15.6 30 Pins Borderless HD","Led Screen","No Brand","All Star","LPO HQ-BUFFER",,"NW LED 15",,MISSING,no,1329.18,
00941653-13,"Led Screen 13.3 30 Pins Slim Side Bracket HD (6 Holes)","Led Screen","No Brand",Berty,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,1698.89,
56904908-13,"Led Screen All in One PC FHD (23.8 inches)","Led Screen","No Brand","All Star","LPO HQ-BUFFER",,"1 Black Drawer",,MISSING,no,3077.83,
43573443-131,"Power Socket T09","Power Socket","No Brand",Imports,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,246.50,
81403735-93,"Cable DP to VGA",Cables,"No Brand",Imports,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,99.44,
85744261-18,"Laptop Charger Sony 16V 4A Circle Pin","Laptop Charger",SONY,Liz,"LPO HQ-BUFFER",,"NW WS2-8",,MISSING,no,154.25,
86655561-41,"Laptop Charger Lenovo 4.74A Common Pin","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER",,"BUFFER BOX 2",,MISSING,no,167.89,
30358591-41,"Laptop Charger HP 45W Type C with cord","Laptop Charger",HP,Liz,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,500.41,
80115001-15,"Laptop Charger Sony 3.3A Circle Pin","Laptop Charger",SONY,Liz,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,163.60,
53201157-244,"Power Socket TB-T07","Power Socket","No Brand",Imports,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,156.50,
17114446-10,"Laptop Charger Dell 19V 1.58A Yellow Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,154.89,
81403735-397,"Cable DP to VGA",Cables,"No Brand",Imports,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,99.44,
17114446-23,"Laptop Charger Dell 19V 1.58A Yellow Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,154.89,
17114446-16,"Laptop Charger Dell 19V 1.58A Yellow Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,154.89,
17114446-25,"Laptop Charger Dell 19V 1.58A Yellow Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,154.89,
97766818-284,"Laptop Charger Asus 19V 1.75A Small Pin","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,104.87,
97766818-278,"Laptop Charger Asus 19V 1.75A Small Pin","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,104.87,
97766818-262,"Laptop Charger Asus 19V 1.75A Small Pin","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,104.87,
97766818-266,"Laptop Charger Asus 19V 1.75A Small Pin","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER",,"NW BR8-L1-4",,MISSING,no,104.87,
97766818-257,"Laptop Charger Asus 19V 1.75A Small Pin","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER",,"NW BR8-L1-4",,MISSING,no,104.87,
36640127-48,"Laptop Charger HP 19.5V 2.05A Bullet Small","Laptop Charger",HP,Liz,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,134.61,
92094300-10,"Laptop Charger Lenovo 2.25A Yoga Pin","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,258.59,
37574461-1,"Laptop Battery Samsung R40","Laptop Battery",Samsung,Kina,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,404.64,
04147569-1,"Laptop Battery Asus B21N1818-4","Laptop Battery",ASUS,Syy,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,1800.00,
34713255-2,"Laptop Battery HP EG04XL","Laptop Battery",HP,Kina,"LPO HQ-BUFFER",,"NW WS2-4",,MISSING,no,1998.00,
22025717-1,"Laptop Battery Asus C31N1618","Laptop Battery",Acer,Syy,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,1800.00,
49546430-4,"Laptop Battery Sony BPS9","Laptop Battery",SONY,Kina,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,964.39,
49839146-1,"Laptop Battery HP PV03XL","Laptop Battery",HP,Andrew,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,2000.00,
86208016-27,"Laptop Battery Dell E6320","Laptop Battery",Dell,Kelly,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,588.08,
06276654-2,"Laptop Battery Acer AS10D51","Laptop Battery",Acer,Kelly,"LPO HQ-BUFFER",,"NW WS2-4",,MISSING,no,466.97,
86208016-40,"Laptop Battery Dell E6320","Laptop Battery",Dell,Kelly,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,588.08,
42304764-2,"Laptop Battery Asus C21N1622","Laptop Battery",ASUS,Kelly,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,1045.12,
42304764-3,"Laptop Battery Asus C21N1622","Laptop Battery",ASUS,Kelly,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,1045.12,
42304764-5,"Laptop Battery Asus C21N1622","Laptop Battery",ASUS,Kelly,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,1045.12,
36124391-26,"Laptop Battery Dell 5KG27","Laptop Battery",Dell,Kina,"LPO HQ-BUFFER",,"NW WS2-4",,MISSING,no,1532.20,
36124391-22,"Laptop Battery Dell 5KG27","Laptop Battery",Dell,Kina,"LPO HQ-BUFFER",,"NW WS2-4",,MISSING,no,1532.20,
85092664-1,"Laptop Battery HP 6720","Laptop Battery",HP,Syy,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,800.00,
78301428-5,"Laptop Battery Asus A32-X64","Laptop Battery",ASUS,Kina,"LPO HQ-BUFFER",,"NW WS2-4",,MISSING,no,404.64,
CHDMI-4,"Cables HDMI to HDMI (1.5m)",Cables,"No Brand",Syy,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,50.00,
46145021-13,"Laptop Charger Sony 12V 2A Circle Pin","Laptop Charger",SONY,Liz,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,195.77,
45844708-1,"Laptop Battery Toshiba 3635","Laptop Battery",Toshiba,Mars,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,750.00,
45593438-5,"Laptop Battery Acer AL10A31","Laptop Battery",Acer,Kina,"LPO HQ-BUFFER",,"NW WS2-4",,MISSING,no,421.76,
42304764-4,"Laptop Battery Asus C21N1622","Laptop Battery",ASUS,Kelly,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,1045.12,
82296226-81,"Laptop Charger Asus 1.58A Micro Pin","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER",,"NW WS2-8",,MISSING,no,143.22,
63930021-1,"Laptop Battery Lenovo L14M4P24","Laptop Battery",Lenovo,Syy,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,1400.91,
80699512-49,"Laptop Charger Toshiba 4.74A Common Pin","Laptop Charger",Toshiba,Liz,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,183.35,
60719744-8,"Laptop Battery Dell TD25P","Laptop Battery",Dell,Kina,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,1718.43,
60719744-1,"Laptop Battery Dell TD25P","Laptop Battery",Dell,Kina,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,1718.43,
60719744-5,"Laptop Battery Dell TD25P","Laptop Battery",Dell,Kina,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,1718.43,
60719744-6,"Laptop Battery Dell TD25P","Laptop Battery",Dell,Kina,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,1718.43,
49546430-2,"Laptop Battery Sony BPS9","Laptop Battery",SONY,Kina,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,964.39,
49546430-3,"Laptop Battery Sony BPS9","Laptop Battery",SONY,Kina,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,964.39,
49546430-1,"Laptop Battery Sony BPS9","Laptop Battery",SONY,Kina,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,964.39,
49546430-5,"Laptop Battery Sony BPS9","Laptop Battery",SONY,Kina,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,964.39,
56084941-5,"Laptop Battery Acer AP14A8M","Laptop Battery",Acer,Kina,"LPO HQ-BUFFER",,"NW WS2-4",,MISSING,no,1138.67,
65043694-4,"Laptop Battery Lenovo L15L4A01","Laptop Battery",Lenovo,Kelly,"LPO HQ-BUFFER",,"NW WS2-4",,MISSING,no,636.55,
65043694-1,"Laptop Battery Lenovo L15L4A01","Laptop Battery",Lenovo,Kelly,"LPO HQ-BUFFER",,"NW WS2-4",,MISSING,no,636.55,
56084941-15,"Laptop Battery Acer AP14A8M","Laptop Battery",Acer,Kina,"LPO HQ-BUFFER",,"NW WS2-4",,MISSING,no,1138.67,
74085727-6,"Laptop Battery Lenovo L14M4P73","Laptop Battery",Lenovo,Kina,"LPO HQ-BUFFER",,"NW WS2-4",,MISSING,no,1441.47,
74085727-7,"Laptop Battery Lenovo L14M4P73","Laptop Battery",Lenovo,Kina,"LPO HQ-BUFFER",,"NW WS2-4",,MISSING,no,1441.47,
74085727-3,"Laptop Battery Lenovo L14M4P73","Laptop Battery",Lenovo,Kina,"LPO HQ-BUFFER",,"NW WS2-4",,MISSING,no,1441.47,
74085727-2,"Laptop Battery Lenovo L14M4P73","Laptop Battery",Lenovo,Kina,"LPO HQ-BUFFER",,"NW WS2-4",,MISSING,no,1441.47,
36124391-27,"Laptop Battery Dell 5KG27","Laptop Battery",Dell,Kina,"LPO HQ-BUFFER",,"NW WS2-4",,MISSING,no,1532.20,
22954312-7,"Laptop Battery Acer AP13B3K","Laptop Battery",Acer,Kelly,"LPO HQ-BUFFER",,"NW WS2-4",,MISSING,no,791.52,
22954312-16,"Laptop Battery Acer AP13B3K","Laptop Battery",Acer,Kelly,"LPO HQ-BUFFER",,"NW WS2-4",,MISSING,no,791.52,
56084941-14,"Laptop Battery Acer AP14A8M","Laptop Battery",Acer,Kina,"LPO HQ-BUFFER",,"NW WS2-4",,MISSING,no,1138.67,
22954312-9,"Laptop Battery Acer AP13B3K","Laptop Battery",Acer,Kelly,"LPO HQ-BUFFER",,"NW WS2-4",,MISSING,no,791.52,
36124391-24,"Laptop Battery Dell 5KG27","Laptop Battery",Dell,Kina,"LPO HQ-BUFFER",,"NW WS2-4",,MISSING,no,1532.20,
74085727-5,"Laptop Battery Lenovo L14M4P73","Laptop Battery",Lenovo,Kina,"LPO HQ-BUFFER",,"NW WS2-4",,MISSING,no,1441.47,
50186802-5,"Laptop Battery Acer AP13B3K","Laptop Battery",Acer,Kelly,"LPO HQ-BUFFER",,"NW WS2-4",,MISSING,no,823.17,
